column,type,label,description
ProgramName,text,,
ParentProjectName,text,,
ProjectCode,text,,
ProjectName,text,,
StationName,text,,
StationCode,text,,
Latitude,text,,
Longitude,text,,
Datum,text,,
GeometryShape,text,,
SampleDate,text,,
CollectionTime,text,,
SamplingAgency,text,,
ProtocolCode,text,,
LocationCode,text,,
HydroModLoc,text,,
Hydromod,text,,
CollectionReplicate,text,,
CollectionMethodName,text,,
SampleType,text,,
PersonnelCode,text,,
SampleComments,text,,
BACollectionComments,text,,
CollectionDeviceName,text,,
LabSampleID,text,,
FinalID,text,,
Phylum,text,,
Class,text,,
Orders,text,,
Family,text,,
Genus,text,,
Species,text,,
LifeStageName,text,,
DistinctOrganism,text,,
Counts,text,,
BAResult,text,,
Unit,text,,
TaxonomicQualifier,text,,
ExcludedTaxa,text,,
Comments,text,,
SieveSize,text,,
SieveSizeUnit,text,,
CollectionDepth,text,,
UnitCollectionDepth,text,,
GrabSize,text,,
UnitGrabSize,text,,
ResQualCode,text,,
ComplianceCode,text,,
BenthicResultRowID,text,,
SampleID,text,,
EffortQACode,text,,
BenthicLabEffortComments,text,,
PercentSampleCounted,text,,
TotalGrids,text,,
GridsAnalyzed,text,,
GridsVolumeAnalyzed,text,,
TargetOrganismCount,text,,
ActualOrganismCount,text,,
ExtraOrganismCount,text,,
QCOrganismCount,text,,
DiscardedOrganismCount,text,,
QACode,text,,
DataQuality,text,,
DataQualityIndicator,text,,
