column,type,label,description
Program,text,,
ParentProject,text,,
Project,text,,
StationName,text,,
StationCode,text,,
SampleDate,timestamp,,
CollectionTime,timestamp,,
LocationCode,text,,
CollectionDepth,numeric,,
UnitCollectionDepth,text,,
SampleTypeCode,text,,
CollectionReplicate,numeric,,
ResultsReplicate,numeric,,
LabBatch,text,,
LabSampleID,text,,
MatrixName,text,,
MethodName,text,,
Analyte,text,,
Unit,text,,
Result,numeric,,
Observation,text,,
MDL,text,,
RL,text,,
ResultQualCode,text,,
QACode,text,,
BatchVerification,text,,
ComplianceCode,text,,
SampleComments,text,,
CollectionComments,text,,
ResultsComments,text,,
BatchComments,text,,
EventCode,text,,
ProtocolCode,text,,
SampleAgency,text,,
GroupSamples,text,,
CollectionMethodName,text,,
Latitude,numeric,,
Longitude,numeric,,
CollectionDeviceDescription,text,,
CalibrationDate,timestamp,,
PositionWaterColumn,text,,
PrepPreservationName,text,,
PrepPreservationDate,text,,
DigestExtractMethod,text,,
DigestExtractDate,text,,
AnalysisDate,text,,
DilutionFactor,text,,
ExpectedValue,text,,
LabAgency,text,,
SubmittingAgency,text,,
SubmissionCode,text,,
OccupationMethod,text,,
StartingBank,text,,
DistanceFromBank,text,,
UnitDistanceFromBank,text,,
StreamWidth,text,,
UnitStreamWidth,text,,
StationWaterDepth,text,,
UnitStationWaterDepth,text,,
HydroMod,text,,
HydroModLoc,text,,
LocationDetailWQComments,text,,
ChannelWidth,text,,
UpstreamLength,text,,
DownStreamLength,text,,
TotalReach,text,,
LocationDetailBAComments,text,,
SampleID,text,,
DW_AnalyteName,text,,
DataQuality,text,,
DataQualityIndicator,text,,
Datum,text,,
