column,type,label,description
Program,text,,
ParentProject,text,,
Project,text,,
StationName,text,,
StationCode,text,,
SampleDate,timestamp,,
CollectionTime,text,,
LocationCode,text,,
SampleTypeCode,numeric,,
CollectionReplicate,numeric,,
MatrixName,text,,
MethodName,text,,
Analyte,text,,
Unit,text,,
Result,text,,
ResultQualCode,text,,
VariableResult,text,,
QACode,text,,
ComplianceCode,text,,
SampleComments,text,,
CollectionComments,text,,
ResultsComments,text,,
EventCode,text,,
ProtocolCode,text,,
SampleAgency,text,,
CollectionMethodName,text,,
Latitude,numeric,,
Longitude,numeric,,
CollectionDeviceDescription,text,,
OccupationMethod,text,,
StartingBank,text,,
DistanceFromBank,numeric,,
UnitDistanceFromBank,text,,
StreamWidth,numeric,,
UnitStreamWidth,text,,
StationWaterDepth,numeric,,
UnitStationWaterDepth,text,,
LocationDetailComments,text,,
DW_AnalyteName,text,,
DataQuality,text,,
DataQualityIndicator,text,,
Datum,text,,
DistinctOrganism,numeric,,
Counts,numeric,,
BAResult,numeric,,
CollectionDepth,numeric,,
GrabSize,numeric,,
