column,type,label,description
ProgramName,text,,
ParentProjectName,text,,
ProjectCode,text,,
ProjectName,text,,
CompositeID,text,,
StationName,text,,
StationCode,text,,
Latitude,text,,
Longitude,text,,
GeometryShape,text,,
EarliestDateSampled,text,,
CompositeType,text,,
CommonName,text,,
FinalID,text,,
TissuePrep,text,,
TissueName,text,,
NumberFishperComp,text,,
SampleTypeCode,text,,
CompositeReplicate,text,,
ResultReplicate,text,,
Matrix,text,,
Method,text,,
Analyte,text,,
Unit,text,,
Result,text,,
ResQualCode,text,,
MDL,text,,
RL,text,,
QACode,text,,
BatchVerification,text,,
ComplianceCode,text,,
DilutionFactor,text,,
LabSampleID,text,,
ResultComments,text,,
PrepPreservationName,text,,
PrepPreservationDate,text,,
DigestExtractMethod,text,,
DigestExtractDate,text,,
AnalysisDate,text,,
CompositeComments,text,,
LabBatch,text,,
LabBatchComments,text,,
AnalyzingAgency,text,,
SubmittingAgency,text,,
LabSubmissionCode,text,,
OrganismGroup,text,,
WeightAvg(g),text,,
TLMax(mm),text,,
TLAvgLength(mm),text,,
CompSizeCheck,text,,
SexSummary,text,,
LatestDateSampled,text,,
SampleDateRange(Days),text,,
SampleDate,text,,
CollectionTime,text,,
TissueResultRowID,text,,
CompositeParentProjectName,text,,
CompositeProjectCode,text,,
CompositeProjectName,text,,
CompositeCompositeID,text,,
CompositeStationName,text,,
CompositeStationCode,text,,
CompositeLatitude,text,,
CompositeLongitude,text,,
CompositeGeometryShape,text,,
CompositeSampleDate,text,,
CompositeProgramName,text,,
CompositeCompositeType,text,,
CompositeCommonName,text,,
CompositeFinalID,text,,
CompositeTissuePrep,text,,
CompositeTissueName,text,,
CompositeSampleTypeCode,text,,
SamplingAgency,text,,
GroupSample,text,,
ProtocolCode,text,,
LocationCode,text,,
HydroModLoc,text,,
Hydromod,text,,
CollectionReplicate,text,,
CollectionMethodName,text,,
CollectionDeviceName,text,,
OrganismID,text,,
TotalCount,text,,
TagNumber,text,,
ForkLength,text,,
TotalLength,text,,
LengthSource,text,,
OrganismWeight,text,,
UnitLengthFish,text,,
UnitWeightFish,text,,
WeightSource,text,,
SizeDescr,text,,
Age,text,,
Sex,text,,
Anomaly,text,,
ProcessedOrganismsExpandedComments,text,,
TissueID,text,,
TissueWeight,text,,
UnitTissueWeight,text,,
PartsComments,text,,
CompAgency,text,,
CompositeWeight,text,,
UnitCompositeWeight,text,,
HomogonizedDate,text,,
CompositeRowID,text,,
PersonnelCode,text,,
SampleComments,text,,
TissueCollectionComments,text,,
LocationDetailTIComments,text,,
CompositeJunctionRowID,text,,
TLMin(mm),text,,
DWC_AnalyteWFraction,text,,
SampleID,text,,
DataQuality,text,,
DataQualityIndicator,text,,
Datum,text,,
SampleDateRangeDays,text,,
