column,type,label,description
StationCode,text,,
SampleDate,timestamp,,
ProjectCode,text,,
EventCode,text,,
ProtocolCode,text,,
AgencyCode,text,,
SampleComments,text,,
LocationCode,text,,
GeometryShape,text,,
CollectionTime,text,,
CollectionMethodCode,text,,
SampleTypeCode,text,,
Replicate,numeric,,
CollectionDeviceName,text,,
CollectionDepth,numeric,,
UnitCollectionDepth,text,,
PositionWaterColumn,text,,
LabCollectionComments,text,,
ToxBatch,text,,
MatrixName,text,,
MethodName,text,,
TestDuration,text,,
OrganismName,text,,
TestExposureType,text,,
QAControlID,text,,
SampleID,text,,
LabSampleID,text,,
ToxTestComments,text,,
Treatment,text,,
Concentration,numeric,,
UnitTreatment,text,,
Dilution,numeric,,
WQSource,text,,
ToxPointMethod,text,,
AnalyteName,text,,
FractionName,text,,
UnitAnalyte,text,,
TimePoint,text,,
LabReplicate,numeric,,
OrganismPerRep,numeric,,
Result,numeric,,
ResQualCode,text,,
ToxResultQACode,text,,
ComplianceCode,text,,
ToxResultComments,text,,
Program,text,,
ParentProject,text,,
Lat,numeric,,
Long,numeric,,
Datum,text,,
StartDate,timestamp,,
LabAgencyCode,text,,
LabSubmissionCode,text,,
BatchVerificationCode,text,,
RefToxBatch,text,,
OrganismAgeAtTestStart,text,,
SubmittingAgencyCode,text,,
OrganismSupplier,text,,
ToxBatchComments,text,,
