column,type,label,description
Program,text,,
ParentProject,text,,
Project,text,,
StationName,text,,
StationCode,text,,
SampleDate,text,,
CollectionTime,text,,
LocationCode,text,,
CollectionDepth,text,,
UnitCollectionDepth,text,,
SampleTypeCode,text,,
CollectionReplicate,text,,
LabReplicate,text,,
ToxBatch,text,,
LabSampleID,text,,
MatrixName,text,,
MethodName,text,,
ToxTestDurCode,text,,
OrganismName,text,,
Analyte,text,,
Unit,text,,
WQSource,text,,
TimePointName,text,,
Result,text,,
ResultQualCode,text,,
ToxResultQACode,text,,
QACode,text,,
BatchVerificationCode,text,,
ComplianceCode,text,,
SampleComments,text,,
CollectionComments,text,,
ToxTestComments,text,,
TimePointComments,text,,
ToxResultComments,text,,
ToxBatchComments,text,,
EventCode,text,,
ProtocolCode,text,,
SampleAgency,text,,
GroupSamples,text,,
CollectionMethodName,text,,
Latitude,text,,
Longitude,text,,
CollectionDeviceDescription,text,,
PositionWaterColumn,text,,
TIENarrative,text,,
Dilution,text,,
ToxPointMethod,text,,
Treatment,text,,
UnitTreatment,text,,
TreatmentConcentration,text,,
LabAgency,text,,
SubmittingAgency,text,,
ToxBatchStartDate,text,,
RefToxBatch,text,,
OrganismAgeAtTestStart,text,,
LabSubmissionCode,text,,
OccupationMethod,text,,
StartingBank,text,,
DistanceFromBank,text,,
UnitDistanceFromBank,text,,
StreamWidth,text,,
UnitStreamWidth,text,,
StationWaterDepth,text,,
UnitStationWaterDepth,text,,
HydroMod,text,,
HydroModLoc,text,,
LocationDetailWQComments,text,,
PctControl,text,,
RepCount,text,,
Mean,text,,
StdDev,text,,
StatMethod,text,,
Probability,text,,
Alphalevel,text,,
EvalThreshold,text,,
MSD,text,,
SigEffectCode,text,,
ChannelWidth,text,,
UpstreamLength,text,,
DownstreamLength,text,,
TotalReach,text,,
CalculatedValue,text,,
PercentEffect,text,,
SampleID,text,,
DW_AnalyteName,text,,
DataQuality,text,,
DataQualityIndicator,text,,
Datum,text,,
